"gene.id","ENSEMBL","ENTREZID","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000002330","ENSG00000002330","572","BAD",0.640796659823419,1.73309186378956,1.74222777157538,0.106552129399396,0.283134160532923,-4.84520233799321
"ENSG00000004779","ENSG00000004779","4706","NDUFAB1",0.702257073968003,5.2336686238769,2.56857045533943,0.0243121568643976,0.135648817425967,-4.1204711075305
"ENSG00000010244","ENSG00000010219","8798","DYRK4",0.224754918512517,8.12112840532053,1.2407550667457,0.237985082624701,0.449992906335472,-6.23118954327807
"ENSG00000014824","ENSG00000014641","4190","MDH1",-0.172060636768526,5.29909563430211,-1.12857539454282,0.28074277125948,0.495779787543338,-6.296968981086
"ENSG00000018869","ENSG00000018699","55622","TTC27",-0.213865848493261,2.11378390750458,-0.784640913191209,0.447605955427921,0.646069622147628,-6.04294280403336
"ENSG00000021300","ENSG00000020922","4361","MRE11",-0.728065206885407,4.67292079259185,-2.3475749667371,0.0365214810487236,0.163370106732729,-4.43300645796837
"ENSG00000023909","ENSG00000023902","51177","PLEKHO1",0.246448322207157,5.83890752765032,1.51933856778772,0.154114559072406,0.347648936936078,-5.81943216354641
"ENSG00000053501","ENSG00000053372","51154","MRTO4",-0.36824061260964,4.22506443580833,-2.38968225629303,0.0338121546228584,0.15877877048931,-4.30922196236788
"ENSG00000056097","ENSG00000055957","3697","ITIH1",0.133909300667349,7.73205024485609,0.813940373288252,0.431251547011558,0.633082896973941,-6.66022448932898
"ENSG00000066084","ENSG00000066032","1496","CTNNA2",-0.175717290434913,6.66197388752375,-1.38098937047588,0.19201098932893,0.395477755740315,-6.05312550587146
"ENSG00000068024","ENSG00000067955","865","CBFB",-0.210417604780327,4.98144582767084,-1.19135913179569,0.256134251108323,0.470538012131743,-6.19530040111455
"ENSG00000072571","ENSG00000072501","8243","SMC1A",-0.177756168807116,-0.0286168253755875,-0.288408548889491,0.777866832310185,0.879128492373355,-5.70719749888469
"ENSG00000074319","ENSG00000074266","8726","EED",0.307691326084169,5.36869992507247,1.84268945509481,0.0897523700827257,0.259543362262945,-5.35012157296557
"ENSG00000074855","ENSG00000074800","2023","ENO1",-0.724260982768026,1.77499540165925,-2.23226381890867,0.0450443709954203,0.180596792155076,-4.10938279598482
"ENSG00000076555","ENSG00000076382","10615","SPAG5",-1.34230803799795,3.03252225826491,-3.94529194542447,0.00187880422459088,0.0455920689869684,-1.2720282160478
"ENSG00000076641","ENSG00000076554","7163","TPD52",-0.277162887060215,7.78372398110425,-1.44268837389979,0.174242635519623,0.37420772030527,-5.97513333742663
"ENSG00000077254","ENSG00000077232","54431","DNAJC10",-0.450232423919922,6.2471260999714,-2.76932261192771,0.0167339672576457,0.114652495741269,-3.81037255382006
"ENSG00000077585","ENSG00000077514","10714","POLD3",-0.647528009254887,3.0718095834043,-2.01865043820885,0.0660163924599114,0.221372447266001,-4.70984686174357
"ENSG00000079950","ENSG00000079819","2037","EPB41L2",-0.490535996461413,4.05433556588994,-2.84151045013063,0.0146224524596062,0.108034445160841,-3.47141519426812
"ENSG00000083937","ENSG00000083845","6193","RPS5",0.0648634746168948,5.79601205803263,0.30985205906101,0.76189292022582,0.870150565570682,-6.92734628172354
"ENSG00000084652","ENSG00000084623","8668","EIF3I",0.395408511319597,6.86734797969608,2.54733163566436,0.025287577008373,0.137671257778214,-4.21807052721824
"ENSG00000087842","ENSG00000087502","51290","ERGIC2",-0.155318042643831,0.247256033475878,-0.289920341844456,0.77673708004805,0.878785194103087,-5.88868779876828
"ENSG00000089775","ENSG00000089685","332","BIRC5",-0.878425026044939,5.73811315568103,-3.79353625133447,0.00248060393554797,0.0502257921413805,-1.89058701881018
"ENSG00000090372","ENSG00000090263","51650","MRPS33",0.438699510662872,5.31921114727817,2.49194409488488,0.028013636471769,0.145902798232805,-4.26053416088394
"ENSG00000099194","ENSG00000097021","11332","ACOT7",0.519223753115173,8.32753968927752,1.36368841100485,0.197255081372843,0.40261681953189,-6.08102032477117
"ENSG00000100241","ENSG00000100219","7494","XBP1",0.264041307122232,6.95770686197484,1.03012851412077,0.32290458941274,0.535035029009953,-6.46225652846494
"ENSG00000100354","ENSG00000100342","8542","APOL1",-0.816605299557221,6.69915651656097,-3.24576447591548,0.00685948165812662,0.0784147784998091,-2.93829661675623
"ENSG00000100425","ENSG00000100401","5905","RANGAP1",-0.292435628319655,5.79746702682845,-1.79438294725468,0.0975074570166901,0.26957943998732,-5.44477939437219
"ENSG00000100764","ENSG00000100711","79038","ZFYVE21",0.651419259788123,6.57188297515926,2.72041437830584,0.0183326833096666,0.119926977087438,-3.90781297062404
"ENSG00000101417","ENSG00000101365","3420","IDH3B",-0.510313957964971,2.9966484667665,-3.02159828843294,0.0104375516936134,0.0942520582333007,-2.96261766042673
"ENSG00000102226","ENSG00000102172","6611","SMS",-0.343484044364422,5.79773024771669,-1.49913566219098,0.159217538102055,0.354607551697306,-5.86783150395311
"ENSG00000103319","ENSG00000103260","79006","METRN",-0.734734938352182,5.05887184734143,-2.65629045761006,0.0206579948042464,0.126311657886153,-3.93885865852981
"ENSG00000103490","ENSG00000103423","9093","DNAJA3",-0.81388680907368,1.1093298316955,-1.82880886305636,0.0919216174749064,0.262124436966089,-4.60180919773825
"ENSG00000103978","ENSG00000103811","1512","CTSH",-0.0109173689974228,6.1723817400245,-0.0589253949941468,0.953964026686789,0.976919933874299,-6.99294858189877
"ENSG00000104756","ENSG00000104691","7993","UBXN8",0.0792453050932602,4.82654091354444,0.450947266687316,0.659923689045845,0.802982629746676,-6.79033584792721
"ENSG00000104915","ENSG00000104889","10535","RNASEH2A",-0.00155063332196756,3.66499284392517,-0.00584733223329779,0.995428889516446,0.997901686997684,-6.69342180597303
"ENSG00000105127","ENSG00000105011","55723","ASF1B",0.176966950503008,5.51898813448904,1.32370180989287,0.209827387965587,0.416911701419569,-6.08557101816229
"ENSG00000105379","ENSG00000105364","51073","MRPL4",0.109168079773538,3.7154462820859,0.291887920425256,0.775267519375058,0.87820938557466,-6.63274550692912
"ENSG00000106948","ENSG00000106785","9830","TRIM14",-0.28533951872285,7.72715171435633,-0.965388305544181,0.353064268424405,0.563544889985107,-6.52575122031872
"ENSG00000107669","ENSG00000107537","5264","PHYH",-0.0469896597458574,5.66845963196493,-0.352266734661526,0.730637832632597,0.851292601230185,-6.90711857954173
"ENSG00000107771","ENSG00000107625","79009","DDX50",-0.295952124090213,7.31104923728053,-1.35610931574683,0.19958929188805,0.404808092990166,-6.08661690772615
"ENSG00000107862","ENSG00000107789","9562","MINPP1",0.0678306347005915,6.58340045065962,0.554452273631289,0.589271294173827,0.752207892202913,-6.84222746910196
"ENSG00000109775","ENSG00000109674","55247","NEIL3",-0.0936611063163561,4.25885216673678,-0.585452538484544,0.568895869565877,0.738833030514879,-6.63512392696276
"ENSG00000110074","ENSG00000109971","3312","HSPA8",0.601777140879937,3.35863184880438,2.2263060873366,0.0455325179591108,0.181865889991629,-4.41192884592031
"ENSG00000110315","ENSG00000110107","27339","PRPF19",-0.177212140375731,4.16880058746071,-0.963541062250947,0.353953452718782,0.564502215476683,-6.32159868234507
"ENSG00000110318","ENSG00000110108","79073","TMEM109",-0.611668773554443,2.17405069652452,-1.96533859024402,0.072514147846772,0.232467595029944,-4.61346068964044
"ENSG00000111144","ENSG00000110955","506","ATP5F1B",-0.0588568338628638,7.03568686227652,-0.344024597761103,0.736674159687387,0.854152615322848,-6.94555903627529
"ENSG00000111266","ENSG00000111206","2305","FOXM1",-0.300368028895062,6.09484680968315,-1.1814956117205,0.259885080991137,0.474486945471684,-6.28426940909124
"ENSG00000111652","ENSG00000111530","55832","CAND1",0.13298806490599,4.21049758952232,0.695868323411826,0.499530084030167,0.68782365798457,-6.54827095385773
"ENSG00000111796","ENSG00000111716","3945","LDHB",-1.61332937685326,0.67118529142915,-2.76232289492251,0.0169540576173771,0.115377229434455,-3.01490921608683
"ENSG00000113088","ENSG00000112877","55722","CEP72",-0.833216872598921,2.56340283497049,-1.90153976799607,0.081061833880807,0.244993849770612,-4.78117781523248
"ENSG00000115594","ENSG00000115484","10575","CCT4",0.402411555421192,1.13444426708769,1.18986227706976,0.256700725358052,0.471066844813963,-5.43888447362314
"ENSG00000115828","ENSG00000115657","10058","ABCB6",0.934945296691379,2.73471912673185,1.99383445251888,0.0689709803477361,0.226287463697661,-4.60311783359631
