"","G03_G02_T03","G03_G02_T04"
"VANTVEER_BREAST_CANCER_BRCA1_UP",0.672274258656587,1.96653099912389
"REACTOME_RNA_POL_I_TRANSCRIPTION_TERMINATION",0.395139557448162,0.74542062920987
"TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_GRANULOCYTE_DN",0.462910862356375,0.839128882152296
"VALK_AML_WITH_CEBPA",-0.190622191506032,-0.620999671160625
"WU_HBX_TARGETS_2_UP",-0.228395889237675,-1.58323869347156
"REACTOME_RNA_POL_I_TRANSCRIPTION_INITIATION",0.381053578803778,0.74542062920987
"HASLINGER_B_CLL_WITH_MUTATED_VH_GENES",0.520440504947761,3.04389652764356
"LEE_LIVER_CANCER",1.44471160075738,2.77084602740361
"LU_TUMOR_VASCULATURE_DN",-0.257352252853654,-1.26855536781747
"VALK_AML_CLUSTER_15",-0.278981778868719,-0.620999671160625
