Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	plage	zscore	gsva	ssgsea	ora	fry
1	M5903	HALLMARK_NOTCH_SIGNALING	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_NOTCH_SIGNALING.html	Genes up-regulated by activation of Notch signaling.		20/32	Arthur Liberzon	0.000176699664275064	0.00441749160687661	5	8.75	2	2.20891657182866e-05	1	0.84748947081349	-0.84748947081349	-1	32.8304657377173	1	2	14	3	1	2	45	2
2	M5905	HALLMARK_ADIPOGENESIS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_ADIPOGENESIS.html	Genes up-regulated during adipocyte differentiation (adipogenesis).		125/200	Arthur Liberzon	0.0115100611699256	0.095917176416047	5	2.875	2	0.00144605528336635	1	1.42091638480231	1.51831697615486	1	23.7531462856372	2	1	5	1	3	8	2	1
3	M5908	HALLMARK_ANDROGEN_RESPONSE	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_ANDROGEN_RESPONSE.html	Genes defining response to androgens.		65/101	Arthur Liberzon	0.000154739356032391	0.00441749160687661	5	9	4.5	1.93437290828758e-05	1	1.01783184800089	-1.223808747736	-1	39.4622132959171	6	4	16	2	2	1	36	5
4	M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_CHOLESTEROL_HOMEOSTASIS.html	Genes involved in cholesterol homeostasis.		45/74	Arthur Liberzon	0.000276379311317376	0.0046063218552896	5	10.125	6	3.45515919697243e-05	3	2.59281489740715	-1.69972283136834	-1	100	3	3	29	11	9	3	20	3
5	M5910	HALLMARK_PROTEIN_SECRETION	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_PROTEIN_SECRETION.html	Genes involved in protein secretion pathway.		58/96	Arthur Liberzon	0.0181907087133236	0.124311026951503	10	9.625	6	0.00229214325351437	4	1.50753055630496	-1.50753055630496	-1	22.4043043814099	9	5	25	6	6	6	16	4
6	M5947	HALLMARK_IL2_STAT5_SIGNALING	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_IL2_STAT5_SIGNALING.html	Genes up-regulated by STAT5 in response to IL2 stimulation.		115/200	Arthur Liberzon	0.000607636547691345	0.00759545684614181	10	12	6.5	7.59747679707259e-05	4	1.58317787344782	1.6600397515783	1	55.3113133209235	5	7	47	9	12	4	6	6
7	M5938	HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY.html	Genes up-regulated by reactive oxigen species (ROS).		36/49	Arthur Liberzon	0.0668192615375137	0.256997159759668	5	10.375	7	0.00860729075268522	4	1.57557648081484	1.57557648081484	1	15.2067221569571	4	6	8	5	5	16	31	8
8	M5898	HALLMARK_DNA_REPAIR	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR.html	Genes involved in DNA repair.		96/150	Arthur Liberzon	0.103382126176922	0.287172572713672	10	13.375	9	0.0135480764226444	7	2.09061134116323	2.45506788458234	1	18.564692421804	8	16	33	8	7	17	8	10
9	M5897	HALLMARK_IL6_JAK_STAT3_SIGNALING	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_IL6_JAK_STAT3_SIGNALING.html	Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.		46/87	Arthur Liberzon	0.00559499695042417	0.0559499695042417	15	9.75	10	0.000701092566409153	1	1.98175573485744	2.42643555336622	1	40.8631987441411	13	15	1	16	8	5	9	11
10	M5906	HALLMARK_ESTROGEN_RESPONSE_EARLY	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_ESTROGEN_RESPONSE_EARLY.html	Genes defining early response to estrogen.		130/200	Arthur Liberzon	0.285126277295313	0.588335416380955	10	15.875	11.5	0.0410881916620334	4	1.5299679883794	-1.17770124759792	-1	5.66337568035206	7	13	35	4	10	31	18	9
