Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank.mean	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
1	M16737	VANTVEER_BREAST_CANCER_BRCA1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/VANTVEER_BREAST_CANCER_BRCA1_UP.html	Up-regulated genes from the optimal set of 100 markers discriminating ER(-) breast cancer tumors by  BRCA1 [GeneID=672] mutation status.	11823860	20/36	Arthur Liberzon	0.00365890032657421	0.0899647870418667	12.5	465.1875	23	0.000229074413150153	1	1.21390477298528	1.31940262889024	1	24.613985737821
2	M496	REACTOME_RNA_POL_I_TRANSCRIPTION_TERMINATION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RNA_POL_I_TRANSCRIPTION_TERMINATION.html	Genes involved in RNA Polymerase I Transcription Termination		12/22	Reactome	0.0018398437501808	0.0757368647052446	45	321.0625	61	0.000115089523038565	16	0.568220103639502	0.570280093329016	1	8.78608243023152
3	M6161	TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_GRANULOCYTE_DN	http://www.broadinstitute.org/gsea/msigdb/cards/TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_GRANULOCYTE_DN.html	Genes down-regulated by RUNX1-RUNX1T1 [GeneID=861;862] fusion protein in normal hematopoietic progenitors; their expression was sustained in subsequently developing granulocytes.	17898786	5/7	Arthur Liberzon	0.000164424075721318	0.0384957867282537	40	204.75	62.25	1.02772968658221e-05	2	0.658524476055416	0.651019872254336	1	15.7388113969778
4	M19586	VALK_AML_WITH_CEBPA	http://www.broadinstitute.org/gsea/msigdb/cards/VALK_AML_WITH_CEBPA.html	Genes that best predicted acute myeloid leukemia (AML) with mutations in CEBPA [GeneID=1050].	15084694	21/37	Jessica Robertson	0.002326891066433	0.0761214877958063	47.5	516	69.25	0.000145589556085767	8	0.395627914960172	-0.405810931333328	-1	7.59256565889007
5	M17316	WU_HBX_TARGETS_2_UP	http://www.broadinstitute.org/gsea/msigdb/cards/WU_HBX_TARGETS_2_UP.html	Genes up-regulated by expression of HBV X protein (HBVgp3) [GeneID=944566] in primary hepatocytes.	11439330	17/23	John Newman	0.0148965473039158	0.174382706876464	135	410.5625	94.25	0.000937598629920268	14	0.8867171144685	-0.905817291354618	-1	13.8586757103007
6	M1095	REACTOME_RNA_POL_I_TRANSCRIPTION_INITIATION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RNA_POL_I_TRANSCRIPTION_INITIATION.html	Genes involved in RNA Polymerase I Transcription Initiation		14/25	Reactome	0.00238323309153604	0.0761214877958063	37.5	446.5	107.75	0.000149118725178522	21	0.552259142018878	0.563237104006824	1	8.78108513890674
7	M11120	HASLINGER_B_CLL_WITH_MUTATED_VH_GENES	http://www.broadinstitute.org/gsea/msigdb/cards/HASLINGER_B_CLL_WITH_MUTATED_VH_GENES.html	Genes changed in the B cell chronic lymphocytic leukemia (B-CLL) with mutations in the variable immunoglobulin veriable heavy chain (VH) genes.	15459216	11/18	Kevin Vogelsang	0.00802319851134695	0.135382439745521	110	497.875	110.5	0.000503345626991874	26	1.74096677239936	1.78216851629566	1	29.2832464188366
8	M3879	LEE_LIVER_CANCER	http://www.broadinstitute.org/gsea/msigdb/cards/LEE_LIVER_CANCER.html	Genes down-regulated in tumor compared to non-tumor liver samples from patients with hepatocellular carcinoma (HCC).	18519680	32/49	Leona Saunders	0.000668911786532254	0.0569487170988596	132.5	589.4375	130.75	4.18201010050727e-05	3	1.87922997393774	2.10777881408049	1	38.0790373064124
9	M14262	LU_TUMOR_VASCULATURE_DN	http://www.broadinstitute.org/gsea/msigdb/cards/LU_TUMOR_VASCULATURE_DN.html	Genes down-regulated in endothelial cells derived from invasive ovarian cancer tissue.	17308118	9/13	Arthur Liberzon	0.000967303263821816	0.0598017491564925	125	306.1875	135	6.04838834972203e-05	15	0.765696597811121	-0.762953810335562	-1	16.1979817452339
10	M15545	VALK_AML_CLUSTER_15	http://www.broadinstitute.org/gsea/msigdb/cards/VALK_AML_CLUSTER_15.html	Top 40 genes from cluster 15 of acute myeloid leukemia (AML) expression profile; 88% of the samples are FAB M1 or M2 subtype, 63% have mutations in CEBPA [GeneID=1050].	15084694	19/31	Jessica Robertson	0.00200943341752835	0.0761214877958063	85	538.4375	138	0.000125708037927323	9	0.422033422026247	-0.449990725014672	-1	7.31658301096817
