Rank	ID	GeneSet	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	plage	zscore	gsva	ssgsea	ora	fry
1	hsa04614	Renin-angiotensin system	13/23	Signaling	0.00272565234253882	0.432366051675792	5	3.625	2	0.000341113519612163	1	2.01283625863013	2.01283625863013	1	100	1	1	4	2	16	2	2	1
2	hsa05322	Systemic lupus erythematosus	57/133	Disease	0.0117018700095023	0.565590383792612	5	79.25	5.5	0.00147027755002976	1	0.398573529281842	0.603658308971796	1	13.458389439124	6	3	282	1	52	5	282	3
3	hsa05332	Graft-versus-host disease	11/41	Disease	0.00399670298978206	0.432366051675792	5	70.625	5.5	0.000500463620258389	1	0.268111543663373	-0.350956262973929	-1	13.3200822878993	8	2	231	3	1	33	285	2
4	hsa00590	Arachidonic acid metabolism	34/62	Metabolism	0.12961851144795	0.999997609377948	5	30.375	6.5	0.0172032634033358	2	2.06719219020593	2.06719219020593	1	0.000287213255781129	2	7	179	6	7	34	4	4
5	hsa00290	Valine, leucine and isoleucine biosynthesis	3/4	Metabolism	0.0464630298421864	0.999997609377948	5	20.875	10.5	0.00592948599445213	1	0.482804268003534	-0.678328697195539	-1	6.27886709970858e-05	9	12	1	5	2	66	58	14
6	hsa04514	Cell adhesion molecules (CAMs)	74/145	Signaling	0.251545180314485	0.999997609377948	15	59.25	15	0.0355700279936321	7	0.245742159039248	-0.276027736081775	-1	2.92094164301961e-05	7	11	140	15	11	109	166	15
7	hsa00620	Pyruvate metabolism	22/39	Metabolism	0.0251607271500473	0.999997609377948	10	25.75	18	0.00318026594831357	1	1.30175006166053	-1.15878852256369	-1	0.000178790293533207	21	8	93	20	40	16	1	7
8	hsa04974	Protein digestion and absorption	57/90	Signaling	0.373747923387227	0.999997609377948	20	55.5	20	0.0568220320184676	7	0.183665246062275	-0.18769475798061	-1	2.04163770335269e-05	10	20	44	7	18	100	225	20
9	hsa04672	Intestinal immune network for IgA production	20/49	Signaling	0.00848740880816737	0.518955931479107	5	39.125	21.5	0.00106488660147548	3	0.409941134149938	0.531786493275126	1	15.9323737128556	39	5	22	21	30	3	185	8
10	hsa04612	Antigen processing and presentation	29/77	Signaling	0.410475114722484	0.999997609377948	20	70.5	22	0.0639204279186951	9	0.243540269452922	-0.306183753285153	-1	2.88975242797783e-05	18	19	38	9	15	269	171	25
