Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	plage	zscore	gsva	ssgsea	ora	fry
1	M4638	GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY7_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY7_DN.html	Genes down-regulated in comparison of CD25- T cells treated with IL4 [GeneID=3565] at day 7 versus untreated CD25- T cells at day 7.	21347372	112/200	Jernej Godec	6.36044845219184e-05	0.0112854991902173	10	316.5	8.5	7.95078181398166e-06	3	1.22988452098243	1.12590757285768	1	45.9807734137599	10	7	1884	6	3	10	605	7
2	M8459	GSE27291_6H_VS_7D_STIM_GAMMADELTA_TCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27291_6H_VS_7D_STIM_GAMMADELTA_TCELL_UP.html	Genes up-regulated in gamma delta T cells activated by phosphoantigen BrHPP and IL2 [GeneID=3558]: 6h versus 7 days.	21968650	105/198	Jernej Godec	0.000402385813443058	0.0199922214679077	10	340.375	17	5.03070835985278e-05	6	1.47085818673154	1.8283342893486	1	47.9776831863119	7	15	763	16	6	570	1328	18
3	M5351	GSE37416_0H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE37416_0H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP.html	Genes up-regulated in comparison of control polymorphonuclear leukocytes (PMN) at 0 h versus PMN treated with F. tularensis vaccine at 48 h.	22986450	104/200	Jernej Godec	0.00147043211259708	0.0330497122450392	20	214	18	0.000183922366562518	8	1.9323441892938	1.96237595877655	1	54.9327479192421	16	20	609	8	12	143	888	16
4	M6192	GSE2405_S_AUREUS_VS_UNTREATED_NEUTROPHIL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE2405_S_AUREUS_VS_UNTREATED_NEUTROPHIL_UP.html	Genes up-regulated in polymorphonuclear leukocytes (9h): S. aureus infection versus control.	15879137	117/200	Jernej Godec	0.0018225650430296	0.0374022043613031	10	205	19	0.00022800249541586	9	1.13986016526722	1.2385539264291	1	31.2277409285233	24	9	417	9	14	460	698	9
5	M6884	GSE9601_NFKB_INHIBITOR_VS_PI3K_INHIBITOR_TREATED_HCMV_INF_MONOCYTE_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9601_NFKB_INHIBITOR_VS_PI3K_INHIBITOR_TREATED_HCMV_INF_MONOCYTE_UP.html	Genes up-regulated in monocytes after HCMV infection: BAY 11-7082 [PubChem=5353431] versus Ly294002 [PubChem=3973].	18003728	121/200	Jernej Godec	0.00122485761363343	0.0304280417702621	5	248	25	0.000153189310922212	1	1.99479126611892	2.07118157203424	1	58.0826014456491	15	1	1412	35	10	86	422	3
6	M5423	GSE3982_EOSINOPHIL_VS_TH1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_EOSINOPHIL_VS_TH1_DN.html	Genes down-regulated in comparison of eosinophils versus Th1 cells.	16474395	128/200	Jernej Godec	6.185175999798e-05	0.0112854991902173	60	55.625	28	7.73167922253479e-06	2	1.25434937389141	-1.34127855531354	-1	46.8954465256307	22	60	34	5	2	14	249	59
7	M6238	GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP.html	Genes up-regulated in single positive cells: immature CD4 [GeneID=920] versus CD8 thymocytes.	15928199	116/200	Jernej Godec	3.29923489657107e-05	0.0112854991902173	15	172.625	28.5	4.12410314901658e-06	3	1.42880102442134	1.56370021314055	1	53.4177107164223	11	132	42	12	15	3	1071	95
8	M5506	GSE3982_MAC_VS_CENT_MEMORY_CD4_TCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_MAC_VS_CENT_MEMORY_CD4_TCELL_UP.html	Genes up-regulated in comparison of macrophages versus central memory CD4 [GeneID=920] T cells.	16474395	120/200	Jernej Godec	0.00439628236246136	0.0619416500024407	30	288	32	0.000550595170347188	18	1.88974051189892	2.05298884217188	1	43.8241847219542	26	37	719	18	23	1044	410	27
9	M6558	GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_AND_RARA_AGONIST_AM580_TREATED_DC_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_AND_RARA_AGONIST_AM580_TREATED_DC_UP.html	Genes up-regulated in monocyte-derived dendritic cells: untreated versus rosiglitazone and AM580 [PubChem=77999;2126].	16982809	121/200	Jernej Godec	2.46344832891449e-05	0.0112854991902173	5	338.875	38.5	3.07934359918822e-06	1	0.745449994476884	0.770543255571951	1	27.8691077722354	1	49	780	1	1	33	1802	44
10	M8000	GSE16386_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_6H_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE16386_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_6H_UP.html	Genes up-regulated in macrophages (6h): IL4 [GeneID=3565] versus IL4 [GeneID=3565] and rosiglitazone [PubChem=77999].	21093321	131/200	Jernej Godec	0.00024775988429219	0.0158960001163809	55	151.875	38.5	3.09733430464605e-05	4	1.24361944003285	1.26781880829585	1	42.9425141223632	6	51	553	4	17	26	505	53
