Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank.mean	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
1	M5351	GSE37416_0H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE37416_0H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP.html	Genes up-regulated in comparison of control polymorphonuclear leukocytes (PMN) at 0 h versus PMN treated with F. tularensis vaccine at 48 h.	22986450	104/200	Jernej Godec	0.00293870205459641	0.0660508271318813	45	254.125	41.75	0.000183922366562518	8	2.4430648331673	2.45808071790867	1	59.0812067119853
2	M6228	GSE22601_DOUBLE_NEGATIVE_VS_IMMATURE_CD4_SP_THYMOCYTE_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22601_DOUBLE_NEGATIVE_VS_IMMATURE_CD4_SP_THYMOCYTE_DN.html	Genes down-regulated in double negative thymocyte versus immature CD4 [GeneID=920] single positive cells.	15928199	107/194	Jernej Godec	0.0286388992119046	0.232305358589756	87.5	281.375	74.25	0.00181441410421698	1	1.65777008765535	1.70824732475165	1	31.4713748148068
3	M1894	GSE13762_CTRL_VS_125_VITAMIND_DAY5_DC_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13762_CTRL_VS_125_VITAMIND_DAY5_DC_UP.html	Genes up-regulated in dendritic cells (5 days): control versus 25-hydroxyvitamin D3 [PubChem=1593].	19201860	70/129	Jernej Godec	0.000333847855411611	0.0270308250288946	25	216.25	85.25	2.0868756932771e-05	4	2.06058647031275	0.147071908358542	0	55.5152993863692
4	M8381	GSE22025_PROGESTERONE_VS_TGFB1_AND_PROGESTERONE_TREATED_CD4_TCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22025_PROGESTERONE_VS_TGFB1_AND_PROGESTERONE_TREATED_CD4_TCELL_UP.html	Genes up-regulated in CD4 [GeneID=920] T cells: progesterone [PubChem=5994] versus TGFB1 [GeneID=7040] and progesterone [PubChem=5994].	21768398	114/199	Jernej Godec	0.0279722610259573	0.230618466449814	80	363.0625	95.75	0.00177161239443874	14	0.525910333375589	0.4601655158632	1	8.20179996702572
5	M8540	GSE33424_CD161_HIGH_VS_INT_CD8_TCELL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE33424_CD161_HIGH_VS_INT_CD8_TCELL_DN.html	Genes down-regulated in CD8 T cells: KLRB1 high [GeneID=3820] versus KLRB1 int [GeneID=3820].	22086415	120/200	Jernej Godec	0.0092082066688073	0.123298540359633	55	301.1875	119.75	0.000578011903749458	38	1.28807408790042	-1.27454548029585	-1	27.6820123757205
6	M5334	GSE37416_CTRL_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE37416_CTRL_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_UP.html	Genes up-regulated in comparison of control polymorphonuclear leukocytes (PMN) at 12 h versus PMN treated with F. tularensis vaccine at 12 h.	22986450	115/200	Jernej Godec	0.119452166063133	0.478823120015275	67.5	365.375	127.5	0.00791916603488512	28	0.625023040631158	-0.728422064612962	-1	6.80760445657755
7	M5011	GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_BCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_BCELL_UP.html	Genes up-regulated in comparison of B cells from LAIV influenza vaccinee at day 7 post-vaccination versus those from TIV influenza vaccinee at day 7 post-vaccination.	21743478	110/200	Jernej Godec	0.0214474719111302	0.202464134841069	120	279.4375	128.25	0.0013541330414212	30	2.78652031563291	3.17313512211259	1	56.9256104541436
8	M6039	GSE2770_IL12_AND_TGFB_ACT_VS_ACT_CD4_TCELL_48H_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE2770_IL12_AND_TGFB_ACT_VS_ACT_CD4_TCELL_48H_DN.html	Genes down-regulated in CD4 [GeneID=920] T cells activated by anti-CD3 and anti-CD28: TGFB1 [GeneID=7040] and IL-12 (48h) versus untreated (48h).	14607935	110/200	Jernej Godec	0.0750295056156264	0.375744579846956	92.5	388.9375	129.75	0.00486272846371123	2	1.28540808247283	1.34475099062797	1	16.9614380126042
9	M5161	GSE360_CTRL_VS_L_MAJOR_MAC_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_CTRL_VS_L_MAJOR_MAC_DN.html	Genes down-regulated in comparison of macrophages versus macrophages exposed to L. major.	12663451	121/200	Jernej Godec	0.0105690917856764	0.135079679860519	60	273.125	133.5	0.000663863377948007	9	1.43286473737594	1.43189060647484	1	30.5116148701602
10	M6215	GSE2405_0H_VS_6H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE2405_0H_VS_6H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN.html	Genes down-regulated in polymorphonuclear leukocytes (6h): control versus infection by A. phagocytophilum.	15879137	111/193	Jernej Godec	0.138164020292994	0.518355338504025	125	249.4375	149.25	0.00925009626376918	21	1.8853764902656	1.95275574281618	1	29.346809935018
