Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	plage	zscore	gsva	ssgsea	ora	fry
1	M6874	GSE4590_SMALL_VS_VPREB_POS_LARGE_PRE_BCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE4590_SMALL_VS_VPREB_POS_LARGE_PRE_BCELL_UP.html	Genes up-regulated during B lymphocyte differentiation: small pre-B II versus VPREB1+ [GeneID=7441] large pre-B II.	17890238	109/164	Jernej Godec	0.0538496369838527	0.999999277118383	5	248	9	0.00689533935492323	2	1.57675716582467	1.57675716582467	1	32.2542254190694	2	3	1322	3	10	381	255	8
2	M7411	GSE16450_CTRL_VS_IFNA_12H_STIM_MATURE_NEURON_CELL_LINE_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE16450_CTRL_VS_IFNA_12H_STIM_MATURE_NEURON_CELL_LINE_UP.html	Genes up-regulated in mature neuron cell line: control versus interferon alpha (12h).	20483728	116/199	Jernej Godec	0.0069341901193775	0.999999277118383	5	20.375	10	0.000869414756760675	3	2.62141063492977	2.62141063492977	1	55.7530893705035	25	5	7	13	31	3	72	7
3	M4277	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_14H_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_14H_DN.html	Genes down-regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 14 h.	20164420	97/200	Jernej Godec	0.00338658918534167	0.999999277118383	5	235.875	14.5	0.000423952189161022	1	0.223621278684671	-0.229492345531909	-1	1.81623132812473	1	21	979	5	1	8	837	35
4	M6297	GSE1925_CTRL_VS_IFNG_PRIMED_MACROPHAGE_3H_IFNG_STIM_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE1925_CTRL_VS_IFNG_PRIMED_MACROPHAGE_3H_IFNG_STIM_DN.html	Genes down-regulated in macrophages stimulated by IFNG [GeneID=3458] for 3h: control versus primed by IFNG [GeneID=3458].	16148108	69/123	Jernej Godec	0.025919593191678	0.999999277118383	25	206.875	22.5	0.00327729609723176	4	0.304364811236794	-0.319085520417414	-1	3.63250949357793	4	25	11	163	9	20	1398	25
5	M9909	GSE42088_UNINF_VS_LEISHMANIA_INF_DC_8H_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE42088_UNINF_VS_LEISHMANIA_INF_DC_8H_UP.html	Genes up-regulated in dendritic cells: untreated versus 8h after infection of Leishmania major.	24808365	145/200	Jernej Godec	0.00781405602645276	0.999999277118383	5	388.375	23	0.000980112593193289	2	0.27337855260687	-0.247214015517056	-1	2.93549187247886	7	31	1125	15	2	5	1885	37
6	M4266	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_UP.html	Genes up-regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 8 h.	20164420	106/200	Jernej Godec	0.0739873060192297	0.999999277118383	15	240.5	30.5	0.00956240365450372	12	2.79877657425425	2.79877657425425	1	59.7428316162024	90	12	826	29	15	906	32	14
7	M6294	GSE1925_CTRL_VS_24H_IFNG_STIM_MACROPHAGE_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE1925_CTRL_VS_24H_IFNG_STIM_MACROPHAGE_DN.html	Genes down-regulated in macrophages: untreated versus stimulated by IFNG [GeneID=3458] for 24h.	16148108	100/198	Jernej Godec	0.0372589815734245	0.999999277118383	10	348.25	33	0.0047351082861311	7	0.24295213541653	0.296298123647573	1	2.25106755452978	8	26	1225	7	7	77	1396	40
8	M6215	GSE2405_0H_VS_6H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE2405_0H_VS_6H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN.html	Genes down-regulated in polymorphonuclear leukocytes (6h): control versus infection by A. phagocytophilum.	15879137	111/193	Jernej Godec	0.261240765546921	0.999999277118383	35	183.5	38.5	0.0371406205657981	21	1.85939840498182	1.85939840498182	1	38.6120734734183	31	33	1110	21	63	135	44	31
9	M4459	GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_DN.html	Genes down-regulated in comparison of monocytes cultured for 0 days versus those cultured for 1 day.	15789058	130/200	Jernej Godec	0.101587762528098	0.999999277118383	15	372.75	41	0.0133015241162891	13	0.228262682007052	-0.227230459699157	-1	1.92063695969727	14	13	1292	59	23	682	880	19
10	M8933	GSE32901_NAIVE_VS_TH1_CD4_TCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE32901_NAIVE_VS_TH1_CD4_TCELL_UP.html	Genes up-regulated in CD4 [GeneID=920] T cells: naïve versus Th1.	22715389	76/126	Jernej Godec	0.14833893468503	0.999999277118383	20	164.625	43.5	0.0198707519471386	16	1.0991246244917	1.0991246244917	1	21.5101629720495	30	16	974	54	33	67	123	20
