Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	plage	zscore	gsva	ssgsea	ora	fry
1	M15132	BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP	http://www.broadinstitute.org/gsea/msigdb/cards/BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP.html	Genes up-regulated in T98G cells (glioma, express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 24 h.	15980968	6/9	Arthur Liberzon	4.60851674896294e-05	0.172635037416152	5	12.625	2.5	5.76076208719482e-06	1	3.53155857974994	3.53155857974994	1	100	1	2	34	2	45	1	13	3
2	M16737	VANTVEER_BREAST_CANCER_BRCA1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/VANTVEER_BREAST_CANCER_BRCA1_UP.html	Up-regulated genes from the optimal set of 100 markers discriminating ER(-) breast cancer tumors by  BRCA1 [GeneID=672] mutation status.	11823860	20/36	Arthur Liberzon	0.00183112667573841	0.451609917745507	10	883.75	9.5	0.000229074413150153	1	0.461278546846676	0.672274258656587	1	5.91102020561669	2	9	3742	1	7	23	3276	10
3	M6416	BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP	http://www.broadinstitute.org/gsea/msigdb/cards/BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP.html	Genes up-regulated in A172 cells (glioma, does not express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 24 h.	15980968	6/14	John Newman	0.00183893221563938	0.451609917745507	10	79.125	10	0.000230051674959038	3	3.53155857974994	3.53155857974994	1	45.2548993663982	3	8	138	9	443	9	12	11
4	M19162	WANG_RESPONSE_TO_FORSKOLIN_DN	http://www.broadinstitute.org/gsea/msigdb/cards/WANG_RESPONSE_TO_FORSKOLIN_DN.html	Genes down-regulated in LNCaP cells (prostate cancer) treated with forskolin [PubChem=47936], an activator of PKA pathway.	16751804	4/9	Arthur Liberzon	0.00406039653080653	0.60840981617605	15	249	17	0.000508453484109281	12	0.708562464497506	-0.896622631943584	-1	5.67570285131336	15	15	29	41	12	14	1847	19
5	M14215	HOFMANN_MYELODYSPLASTIC_SYNDROM_HIGH_RISK_UP	http://www.broadinstitute.org/gsea/msigdb/cards/HOFMANN_MYELODYSPLASTIC_SYNDROM_HIGH_RISK_UP.html	Genes up-regulated in bone marrow hematopoietic stem cells (HSC, CD34+ [GeneID=947]) from patients with high risk of myelodysplastic syndrome (MDS) compared with healthy controls.	12411319	8/10	Arthur Liberzon	0.00394571694048335	0.60840981617605	20	271.375	18	0.000494068135484636	5	1.37095831528527	1.37095831528527	1	10.9816034993531	17	6	2028	26	5	61	19	9
6	M9823	REN_MIF_TARGETS_DN	http://www.broadinstitute.org/gsea/msigdb/cards/REN_MIF_TARGETS_DN.html	Genes down-regulated in SK-N-DZ cells (neuroblastoma) after knockdown of MIF [GeneID=4282] by antisense RNA.	16449971	3/5	Leona Saunders	0.0447016886429928	0.999999897516725	25	492	23.5	0.00570014459558678	13	0.755939050121078	-0.755939050121078	-1	1.21783110481318e-06	13	23	19	19	32	1445	2361	24
7	M1462	BIOCARTA_CTL_PATHWAY	http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CTL_PATHWAY.html	CTL mediated immune response against target cells		7/15	BioCarta	0.000559264540327554	0.382413739874184	20	370.625	25.5	6.99251785049056e-05	2	0.246394992837121	-0.272628744003671	-1	3.81800036426724	18	17	1780	18	2	394	703	33
8	M12315	TSAI_DNAJB4_TARGETS_DN	http://www.broadinstitute.org/gsea/msigdb/cards/TSAI_DNAJB4_TARGETS_DN.html	Genes down-regulated in CL1-5 cells (lung cancer) overexpressing DNAJB4 [GeneID=11080] off a plasmid vector.	16788156	5/6	Jessica Robertson	0.00125864932257919	0.428627305671057	10	452	27	0.000157417869371233	7	0.670681607943325	-0.642657893392052	-1	9.15909228898827	80	31	7	24	30	7	3423	14
9	M19387	TCGA_GLIOBLASTOMA_MUTATED	http://www.broadinstitute.org/gsea/msigdb/cards/TCGA_GLIOBLASTOMA_MUTATED.html	Genes significantly mutated in 91 glioblastoma samples.	18772890	5/8	Arthur Liberzon	0.00511157425802107	0.683855613233819	15	509.25	31	0.000640380249466354	6	0.312455040577756	-0.371319488598835	-1	1.91402484053141	11	48	14	8	6	575	3351	61
10	M6161	TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_GRANULOCYTE_DN	http://www.broadinstitute.org/gsea/msigdb/cards/TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_GRANULOCYTE_DN.html	Genes down-regulated by RUNX1-RUNX1T1 [GeneID=861;862] fusion protein in normal hematopoietic progenitors; their expression was sustained in subsequently developing granulocytes.	17898786	5/7	Arthur Liberzon	0.00074656801934046	0.382413739874184	5	274.875	33	9.3351497480926e-05	2	0.477920069958536	0.462910862356375	1	7.40558477816839	8	36	2	30	132	4	1932	55
