Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	plage	zscore	gsva	ssgsea	ora	fry
1	M1988	GYORFFY_MITOXANTRONE_RESISTANCE	http://www.broadinstitute.org/gsea/msigdb/cards/GYORFFY_MITOXANTRONE_RESISTANCE.html	Genes associated with resistance to mitoxantrone [PubChem=4212].	16044152	32/57	Arthur Liberzon	0.000845307669163353	0.0410430219267449	5	211.875	18.5	0.000105702555985583	3	1.13174199340069	-1.13174199340069	-1	26.6791069227138	5	10	124	3	8	51	1467	27
2	M18256	KEGG_SULFUR_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_SULFUR_METABOLISM.html	Sulfur metabolism		8/13	KEGG	0.000860400241151636	0.0410430219267449	10	305.75	20.5	0.000107590536459434	5	0.870633497818676	-0.870633497818676	-1	20.5238685066826	14	5	169	6	27	192	2026	7
3	M6034	REACTOME_SEROTONIN_RECEPTORS	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SEROTONIN_RECEPTORS.html	Genes involved in Serotonin receptors		6/12	Reactome	0.000385103271208626	0.0307514115514989	10	70.5	24.5	4.81460212576649e-05	4	0.864525442055123	-0.864525442055123	-1	22.2223848750555	10	4	66	17	49	27	369	22
4	M12827	BOQUEST_STEM_CELL_CULTURED_VS_FRESH_DN	http://www.broadinstitute.org/gsea/msigdb/cards/BOQUEST_STEM_CELL_CULTURED_VS_FRESH_DN.html	Genes down-regulated in cultured stromal stem cells from adipose tissue, compared to the freshly isolated cells.	15635089	17/31	Arthur Liberzon	0.00115359384784686	0.0411176303833876	20	56.375	33	0.000144272060460069	17	2.73286902905753	2.73286902905753	1	64.3866164615014	56	17	207	36	25	63	30	17
5	M11542	YE_METASTATIC_LIVER_CANCER	http://www.broadinstitute.org/gsea/msigdb/cards/YE_METASTATIC_LIVER_CANCER.html	Genes up-regulated in hepatocellular carcinoma (HCC) with intra-hepatic metastasis compared to the non-metastatic tumors.	12640447	14/27	Yujin Hoshida	0.000215169081514473	0.0287865492626149	5	733.75	34	2.68986674371628e-05	2	0.637448950511712	0.637448950511712	1	16.6961730737397	2	40	2524	21	3	58	3194	28
6	M16737	VANTVEER_BREAST_CANCER_BRCA1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/VANTVEER_BREAST_CANCER_BRCA1_UP.html	Up-regulated genes from the optimal set of 100 markers discriminating ER(-) breast cancer tumors by  BRCA1 [GeneID=672] mutation status.	11823860	20/36	Arthur Liberzon	0.00190594303608457	0.0506068914722063	15	46.625	36.5	0.000238441775324236	11	1.96653099912389	1.96653099912389	1	43.3169512700253	51	11	87	29	32	108	41	14
7	M1711	DASU_IL6_SIGNALING_SCAR_DN	http://www.broadinstitute.org/gsea/msigdb/cards/DASU_IL6_SIGNALING_SCAR_DN.html	Genes down-regulated in hypertrophic scar fibroblasts in response to IL6 [GeneID=3569].	15095275	11/16	John Newman	5.30527287984481e-06	0.00816824371484313	55	606.375	37	6.63160649215723e-07	1	0.508084431737011	-0.404666166137882	-1	18.032749342189	54	64	1354	12	20	1	3340	6
8	M168	GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_MAGENTA_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_MAGENTA_DN.html	Genes from the magenta module which are down-regulated in HAEC cells (primary aortic endothelium) after exposure to the oxidized 1-palmitoyl-2-arachidonyl-sn-3-glycerophosphorylcholine (oxPAPC).	16912112	8/12	Arthur Liberzon	0.000396223843063708	0.0307514115514989	30	101.125	40	4.95365680826424e-05	19	1.22234781903454	1.22234781903454	1	31.4201095846288	57	87	29	19	34	29	508	46
9	M16409	KYNG_ENVIRONMENTAL_STRESS_RESPONSE_NOT_BY_UV_IN_OLD	http://www.broadinstitute.org/gsea/msigdb/cards/KYNG_ENVIRONMENTAL_STRESS_RESPONSE_NOT_BY_UV_IN_OLD.html	Human environmental stress response genes not changed in primary fibroblasts from old donors in response to UV radiation.	15897889	15/25	Jessica Robertson	0.00182825444047939	0.0489210968214659	45	244.375	43	0.000228714807956445	10	1.14020426355112	-1.14020426355112	-1	25.4005598907386	34	44	777	10	14	141	893	42
10	M1895	KYNG_ENVIRONMENTAL_STRESS_RESPONSE_NOT_BY_4NQO_IN_OLD	http://www.broadinstitute.org/gsea/msigdb/cards/KYNG_ENVIRONMENTAL_STRESS_RESPONSE_NOT_BY_4NQO_IN_OLD.html	Human environmental etress response genes not changed in primary fibroblasts from old donors in response to 4NQO treatment.	15897889	8/13	Jessica Robertson	0.000919474848214496	0.0410430219267449	10	110.375	44	0.000114980617285828	1	1.14020426355112	-1.14020426355112	-1	26.8785921604525	7	67	162	1	9	99	517	21
