Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	roast	plage	zscore	gsva	ssgsea	ora	fry
1	M2847	SIRNA_EIF4GI_UP	http://www.broadinstitute.org/gsea/msigdb/cards/SIRNA_EIF4GI_UP.html	Genes up-regulated in MCF10A cells vs knockdown of EIF4G1 [Gene ID=1981] gene by RNAi.	18426977	48/95	Pablo Tamayo	0.000299259243903553	0.0143644437073705	5	15.875	3.5	3.74123040031222e-05	2	1.27982786326031	-1.27982786326031	-1	51.145466362051	4	2	62	3	2	2	48	4
2	M2845	YAP1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/YAP1_UP.html	Genes up-regulated in MCF10A cells (breast cancer) over-expressing YAP1 [Gene ID=10413] gene.	18413746	28/47	Pablo Tamayo	0.000154737546850235	0.0111411033732169	5	14.375	4.5	1.93435029044823e-05	1	1.38178577801443	-2.08821095071739	-1	58.5370092159779	8	1	59	22	1	1	22	1
3	M2853	STK33_DN	http://www.broadinstitute.org/gsea/msigdb/cards/STK33_DN.html	Genes down-regulated in NOMO-1 and SKM-1 cells (AML) after knockdown of STK33 [Gene ID=65975] by RNAi.	19490892	152/289	Pablo Tamayo	0.00329537751279998	0.0790890603071994	5	27.25	7	0.000412517294780046	1	1.04939108801566	-1.0154172896193	-1	25.0418732186419	3	6	101	1	8	5	86	8
4	M2827	IL21_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/IL21_UP.V1_UP.html	Genes up-regulated in Sez-4 cells (T lymphocyte) that were first starved of IL2 [Gene ID=3558] and then stimulated with IL21 [Gene ID=59067].	18281483	99/193	Pablo Tamayo	0.0203539380357838	0.143022631853813	10	17.25	8	0.00256719084166643	3	1.34774682202772	1.34334332130559	1	24.6508497171564	10	3	9	7	6	32	68	3
5	M2856	STK33_SKM_DN	http://www.broadinstitute.org/gsea/msigdb/cards/STK33_SKM_DN.html	Genes down-regulated in SKM-1 cells (AML) after knockdown of STK33 [Gene ID=65975] by RNAi.	19490892	151/288	Pablo Tamayo	0.00605943650902278	0.087255885729928	5	23.875	9.5	0.000759445149703885	2	2.10028117728107	-1.48162225939534	-1	48.2415158443194	2	11	96	2	5	8	54	13
6	M2880	KRAS.600_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.600_UP.V1_DN.html	Genes down-regulated in four lineages of epithelial cell lines over-expressing an oncogenic form of KRAS [Gene ID=3845] gene.	19847166	170/289	Pablo Tamayo	0.0359259720955455	0.184762142205663	10	26.75	11	0.00456295729478362	6	2.64201965095475	3.49271369342586	1	42.0089043112638	13	8	16	8	9	141	13	6
7	M2875	KRAS.300_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.300_UP.V1_UP.html	Genes up-regulated in four lineages of epithelial cell lines over-expressing an oncogenic form of KRAS [Gene ID=3845] gene.	19847166	76/146	Pablo Tamayo	0.0175414714957017	0.143022631853813	5	32.875	11.5	0.00220969830217261	1	5.45593794610759	5.45593794610759	1	100	1	12	75	5	4	34	121	11
8	M2873	JAK2_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/JAK2_DN.V1_UP.html	Genes up-regulated in HEL cells (erythroleukemia) after knockdown of JAK2 [Gene ID=3717] gene by RNAi.		97/188	Pablo Tamayo	0.0141421210778938	0.143022631853813	15	23.125	13	0.00177880028025156	6	2.21122950268353	2.21122950268353	1	40.4881572586695	6	14	73	11	25	12	35	9
9	M2869	TBK1.DN.48HRS_UP	http://www.broadinstitute.org/gsea/msigdb/cards/TBK1.DN.48HRS_UP.html	Genes up-regulated in epithelial lung cancer cell lines upon over-expression of an oncogenic form of KRAS [Gene ID=3845] gene and knockdown of TBK1 [Gene ID=29110] gene by RNAi.	GSE17643	29/50	Pablo Tamayo	0.0056461125902588	0.087255885729928	10	27.625	14	0.000707513611110414	2	1.72756903776206	-1.72756903776206	-1	39.6685170401119	24	10	2	18	3	85	69	10
10	M2674	PIGF_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PIGF_UP.V1_UP.html	Genes up-regulated in HUVEC cells (endothelium) by treatment with PIGF [Gene ID=5281].	15516835	118/191	Pablo Tamayo	0.0388877688143462	0.186661290308862	10	24.875	15.5	0.0049457407240261	4	1.4937179953776	-1.41206157509207	-1	23.5767525842498	7	17	104	4	10	20	14	23
