"G03_G02_T03.gene.id","G03_G02_T03.ENSEMBL","G03_G02_T03.ENTREZID","G03_G02_T03.SYMBOL","G03_G02_T03.logFC","G03_G02_T03.AveExpr","G03_G02_T03.t","G03_G02_T03.P.Value","G03_G02_T03.adj.P.Val","G03_G02_T03.B","G03_G02_T04.gene.id","G03_G02_T04.ENSEMBL","G03_G02_T04.ENTREZID","G03_G02_T04.SYMBOL","G03_G02_T04.logFC","G03_G02_T04.AveExpr","G03_G02_T04.t","G03_G02_T04.P.Value","G03_G02_T04.adj.P.Val","G03_G02_T04.B"
"ENSG00000007202","ENSG00000007174","1770","DNAH9",-0.0517912926260611,8.06896681213667,-0.430496757539801,0.674328073091995,0.999935043429934,-6.55469844966117,"ENSG00000007202","ENSG00000007174","1770","DNAH9",0.0914767442404926,8.06896681213667,0.760283285821921,0.461500364488621,0.658410187201064,-6.70573851493543
"ENSG00000008256","ENSG00000008226","9940","DLEC1",1.35214595515977,3.51134735391542,6.62679253129962,2.23097424858885e-05,0.0145050509062418,3.04952884555353,"ENSG00000008256","ENSG00000008226","9940","DLEC1",1.13775332009372,3.51134735391542,5.3935971723682,0.000151759097509019,0.0153106613633452,1.14630829006866
"ENSG00000031691","ENSG00000031081","57514","ARHGAP31",-0.27642505310024,2.14474147942035,-0.819457919655773,0.428215898137291,0.999935043429934,-5.61996383342754,"ENSG00000031691","ENSG00000031081","57514","ARHGAP31",-0.188734343824408,2.14474147942035,-0.600549767905276,0.559111791199063,0.731992984942682,-6.17451023907574
"ENSG00000034510","ENSG00000034239","79645","CLXN",-0.459926332217625,10.053449111307,-3.24390259320299,0.00688341408338544,0.366045271886352,-2.62982171391056,"ENSG00000034510","ENSG00000034239","79645","CLXN",-0.193474099188399,10.053449111307,-1.36286023826063,0.197509042765506,0.402691346251692,-6.06952465148419
"ENSG00000049167","ENSG00000049089","1298","COL9A2",0.0969908134358536,2.98865121776694,0.499270953362703,0.626454041681312,0.999935043429934,-6.08172233610668,"ENSG00000049167","ENSG00000049089","1298","COL9A2",0.174382314074626,2.98865121776694,0.899922875043287,0.385549378924087,0.594315174905792,-6.14696569047274
"ENSG00000054654","ENSG00000054598","2296","FOXC1",-0.43691018481398,7.4388970904301,-1.02572606987631,0.324893847388243,0.999935043429934,-6.11856058638714,"ENSG00000054654","ENSG00000054598","2296","FOXC1",-1.80911277402461,7.4388970904301,-4.21699768358288,0.00114898635305422,0.0386217367740191,-1.14415164061071
"ENSG00000067057","ENSG00000066926","2235","FECH",0.178558909993805,6.54729056881088,0.987181681771986,0.342694010042227,0.999935043429934,-6.15813856620156,"ENSG00000067057","ENSG00000066926","2235","FECH",0.734866252858373,6.54729056881088,4.01663148756668,0.00164999413699546,0.0438818577027489,-1.50856154286091
"ENSG00000070476","ENSG00000070413","9993","DGCR2",0.139605657274521,4.98210963365616,0.853008108014277,0.410060176205925,0.999935043429934,-6.19744002915438,"ENSG00000070476","ENSG00000070413","9993","DGCR2",-0.27178324322752,4.98210963365616,-1.63790121177,0.126912838150608,0.312265389754961,-5.61624039015502
"ENSG00000070882","ENSG00000070808","815","CAMK2A",-0.682382901411863,6.17743372934687,-2.422416759764,0.0318404096605884,0.796448621155593,-4.11218072337486,"ENSG00000070882","ENSG00000070808","815","CAMK2A",-0.513479669277613,6.17743372934687,-1.71165747952398,0.112195086980357,0.291135056082288,-5.5406342911299
"ENSG00000075303","ENSG00000075275","9620","CELSR1",-0.16643559636957,4.89502595797705,-1.20863320514701,0.249667601611477,0.999935043429934,-5.848867964734,"ENSG00000075303","ENSG00000075275","9620","CELSR1",-0.352851025220406,4.89502595797705,-2.47443783999961,0.0289330198790887,0.147797089325611,-4.24940624603258
